time;month;temperature;wind;barometer;weather;label
0.5;1;0.2631578947368421;0.18;0.5625;2;2
1.0;1;0.2631578947368421;0.12;0.5;2;2
1.5;1;0.2631578947368421;0.14;0.5;2;2
2.5;1;0.2631578947368421;0.12;0.5;2;2
3.0;1;0.2631578947368421;0.12;0.5;2;2
3.5;1;0.2631578947368421;0.14;0.5;2;2
4.0;1;0.2631578947368421;0.14;0.5;2;2
4.5;1;0.21052631578947367;0.14;0.5;2;2
5.0;1;0.21052631578947367;0.14;0.5;2;2
5.5;1;0.21052631578947367;0.12;0.5;2;2
6.0;1;0.21052631578947367;0.12;0.5;2;2
6.5;1;0.21052631578947367;0.12;0.5;2;2
7.0;1;0.2631578947368421;0.12;0.5625;2;2
7.5;1;0.3157894736842105;0.12;0.5625;2;2
8.0;1;0.3684210526315789;0.12;0.625;2;2
8.5;1;0.3157894736842105;0.12;0.625;2;2
9.0;1;0.3684210526315789;0.14;0.625;2;2
9.5;1;0.47368421052631576;0.12;0.625;2;2
10.0;1;0.47368421052631576;0.12;0.625;2;2
10.5;1;0.5263157894736842;0.12;0.625;2;2
11.0;1;0.5789473684210527;0.04;0.625;2;2
11.5;1;0.631578947368421;0.12;0.5625;2;2
12.5;1;0.631578947368421;0.12;0.5;2;2
13.5;1;0.6842105263157895;0.12;0.4375;2;2
14.0;1;0.6842105263157895;0.08;0.4375;2;2
14.5;1;0.631578947368421;0.08;0.4375;2;2
15.0;1;0.6842105263157895;0.18;0.375;2;2
15.5;1;0.631578947368421;0.18;0.375;2;2
16.5;1;0.631578947368421;0.12;0.375;2;2
17.0;1;0.631578947368421;0.04;0.4375;2;2
17.5;1;0.5789473684210527;0.04;0.4375;2;2
18.0;1;0.5263157894736842;0.12;0.4375;2;2
18.5;1;0.47368421052631576;0.18;0.4375;2;2
19.0;1;0.47368421052631576;0.18;0.5;2;2
19.5;1;0.42105263157894735;0.14;0.5;2;2
20.0;1;0.42105263157894735;0.18;0.5;2;2
20.5;1;0.47368421052631576;0.12;0.5625;2;2
21.5;1;0.42105263157894735;0.08;0.5625;2;2
22.0;1;0.42105263157894735;0.04;0.5625;2;2
22.5;1;0.42105263157894735;0.04;0.5625;2;2
23.0;1;0.3684210526315789;0.04;0.5625;2;2
23.5;1;0.3684210526315789;0.08;0.5625;2;2
0.0;1;0.3684210526315789;0.04;0.5625;2;2
0.5;1;0.3684210526315789;0.12;0.5625;2;2
1.0;1;0.3157894736842105;0.12;0.5625;2;2
1.5;1;0.3157894736842105;0.0;0.5;2;2
2.0;1;0.3157894736842105;0.04;0.5;2;2
2.5;1;0.2631578947368421;0.14;0.5;2;2
3.0;1;0.2631578947368421;0.14;0.5;2;2
3.5;1;0.21052631578947367;0.18;0.4375;2;2
4.0;1;0.21052631578947367;0.14;0.5;2;2
4.5;1;0.21052631578947367;0.14;0.5;2;2
5.0;1;0.21052631578947367;0.12;0.4375;2;2
5.5;1;0.21052631578947367;0.12;0.5;2;2
6.0;1;0.21052631578947367;0.14;0.5;2;2
6.5;1;0.15789473684210525;0.12;0.5;2;2
7.0;1;0.21052631578947367;0.14;0.5625;2;2
7.5;1;0.2631578947368421;0.14;0.5625;2;2
8.0;1;0.3157894736842105;0.18;0.5625;2;2
8.5;1;0.3684210526315789;0.14;0.625;2;2
9.0;1;0.42105263157894735;0.12;0.5625;2;2
9.5;1;0.47368421052631576;0.14;0.5625;2;2
10.0;1;0.5263157894736842;0.14;0.5625;2;2
10.5;1;0.5789473684210527;0.14;0.5625;2;2
11.0;1;0.631578947368421;0.12;0.5625;2;2
11.5;1;0.631578947368421;0.14;0.5;2;2
12.0;1;0.631578947368421;0.12;0.5;2;2
12.5;1;0.6842105263157895;0.08;0.4375;2;2
13.0;1;0.6842105263157895;0.08;0.4375;2;2
13.5;1;0.6842105263157895;0.12;0.375;2;2
14.0;1;0.6842105263157895;0.18;0.375;2;2
14.5;1;0.7368421052631579;0.08;0.375;2;2
15.0;1;0.7368421052631579;0.08;0.3125;2;2
15.5;1;0.7368421052631579;0.0;0.3125;2;2
16.0;1;0.7368421052631579;0.04;0.3125;2;2
16.5;1;0.631578947368421;0.12;0.375;2;2
17.0;1;0.631578947368421;0.22;0.375;2;2
17.5;1;0.5789473684210527;0.08;0.375;2;0
18.0;1;0.5263157894736842;0.18;0.375;0;0
18.5;1;0.47368421052631576;0.18;0.4375;0;0
19.0;1;0.5263157894736842;0.22;0.4375;0;0
19.5;1;0.47368421052631576;0.26;0.5;0;0
20.0;1;0.42105263157894735;0.18;0.5;0;2
20.5;1;0.42105263157894735;0.12;0.5;2;2
21.0;1;0.42105263157894735;0.08;0.5625;2;2
21.5;1;0.42105263157894735;0.12;0.5625;2;2
22.0;1;0.42105263157894735;0.12;0.5;2;2
22.5;1;0.42105263157894735;0.18;0.5;2;2
23.0;1;0.42105263157894735;0.18;0.5;2;2
23.5;1;0.42105263157894735;0.12;0.5;2;2
0.0;1;0.3684210526315789;0.08;0.5;2;2
0.5;1;0.3684210526315789;0.04;0.5;2;2
1.0;1;0.3157894736842105;0.08;0.5;2;2
1.5;1;0.3157894736842105;0.14;0.4375;2;2
2.0;1;0.3157894736842105;0.08;0.4375;2;2
2.5;1;0.2631578947368421;0.0;0.4375;2;3
3.0;1;0.3157894736842105;0.0;0.4375;3;2
4.0;1;0.2631578947368421;0.04;0.4375;2;2
4.5;1;0.2631578947368421;0.08;0.4375;2;2
5.0;1;0.2631578947368421;0.12;0.4375;2;4
5.5;1;0.2631578947368421;0.12;0.4375;4;4
6.0;1;0.2631578947368421;0.08;0.4375;4;4
6.5;1;0.2631578947368421;0.08;0.4375;4;4
7.0;1;0.3157894736842105;0.08;0.5;4;4
7.5;1;0.3684210526315789;0.12;0.5;4;0
8.0;1;0.42105263157894735;0.08;0.5;0;0
8.5;1;0.47368421052631576;0.12;0.5;0;0
9.0;1;0.5263157894736842;0.12;0.5;0;0
9.5;1;0.5789473684210527;0.08;0.5;0;0
10.0;1;0.631578947368421;0.04;0.5;0;0
10.5;1;0.631578947368421;0.08;0.5;0;0
11.0;1;0.6842105263157895;0.04;0.5;0;2
11.5;1;0.7368421052631579;0.12;0.4375;2;2
12.0;1;0.7368421052631579;0.12;0.4375;2;2
12.5;1;0.7368421052631579;0.08;0.375;2;2
13.0;1;0.7368421052631579;0.12;0.375;2;2
13.5;1;0.7894736842105263;0.14;0.3125;2;2
14.0;1;0.7368421052631579;0.14;0.3125;2;2
14.5;1;0.7368421052631579;0.18;0.3125;2;2
