"time	month	temperature	wind	humidity	barometer	visibility	weather"
"0.5	1	23	9	83	1010	0	Passing clouds"
"1.0	1	23	6	83	1009	0	Passing clouds"
"1.5	1	23	7	83	1009	0	Passing clouds"
"2.5	1	23	6	83	1009	8	Passing clouds"
"3.0	1	23	6	78	1009	8	Passing clouds"
"3.5	1	23	7	78	1009	8	Passing clouds"
"4.0	1	23	7	78	1009	8	Passing clouds"
"4.5	1	22	7	83	1009	8	Passing clouds"
"5.0	1	22	7	83	1009	0	Passing clouds"
"5.5	1	22	6	83	1009	0	Passing clouds"
"6.0	1	22	6	83	1009	0	Passing clouds"
"6.5	1	22	6	83	1009	0	Scattered clouds"
"7.0	1	23	6	83	1010	0	Passing clouds"
"7.5	1	24	6	78	1010	0	Passing clouds"
"8.0	1	25	6	74	1011	0	Passing clouds"
"8.5	1	24	6	78	1011	0	Passing clouds"
"9.0	1	25	7	74	1011	0	Passing clouds"
"9.5	1	27	6	66	1011	0	Scattered clouds"
"10.0	1	27	6	66	1011	0	Scattered clouds"
"10.5	1	28	6	62	1011	0	Passing clouds"
"11.0	1	29	2	58	1011	0	Passing clouds"
"11.5	1	30	6	55	1010	0	Passing clouds"
"12.5	1	30	6	55	1009	0	Passing clouds"
"13.5	1	31	6	52	1008	0	Passing clouds"
"14.0	1	31	4	52	1008	0	Passing clouds"
"14.5	1	30	4	55	1008	0	Passing clouds"
"15.0	1	31	9	59	1007	0	Scattered clouds"
"15.5	1	30	9	55	1007	0	Scattered clouds"
"16.5	1	30	6	52	1007	8	Scattered clouds"
"17.0	1	30	2	49	1008	8	Scattered clouds"
"17.5	1	29	2	62	1008	8	Scattered clouds"
"18.0	1	28	6	70	1008	8	Passing clouds"
"18.5	1	27	9	74	1008	8	Passing clouds"
"19.0	1	27	9	70	1009	0	Passing clouds"
"19.5	1	26	7	74	1009	0	Passing clouds"
"20.0	1	26	9	79	1009	0	Passing clouds"
"20.5	1	27	6	74	1010	0	Passing clouds"
"21.5	1	26	4	84	1010	0	Passing clouds"
"22.0	1	26	2	79	1010	0	Passing clouds"
"22.5	1	26	2	79	1010	6	Passing clouds"
"23.0	1	25	2	89	1010	0	Passing clouds"
"23.5	1	25	4	89	1010	0	Passing clouds"
"0.0	1	25	2	89	1010	0	Passing clouds"
"0.5	1	25	6	89	1010	0	Passing clouds"
"1.0	1	24	6	94	1010	0	Passing clouds"
"1.5	1	24	0	94	1009	6	Passing clouds"
"2.0	1	24	2	94	1009	6	Passing clouds"
"2.5	1	23	7	94	1009	6	Passing clouds"
"3.0	1	23	7	89	1009	6	Passing clouds"
"3.5	1	22	9	88	1008	6	Passing clouds"
"4.0	1	22	7	88	1009	6	Passing clouds"
"4.5	1	22	7	88	1009	8	Passing clouds"
"5.0	1	22	6	83	1008	8	Passing clouds"
"5.5	1	22	6	83	1009	8	Passing clouds"
"6.0	1	22	7	83	1009	8	Passing clouds"
"6.5	1	21	6	88	1009	8	Scattered clouds"
"7.0	1	22	7	83	1010	8	Passing clouds"
"7.5	1	23	7	83	1010	8	Passing clouds"
"8.0	1	24	9	78	1010	8	Passing clouds"
"8.5	1	25	7	74	1011	8	Passing clouds"
"9.0	1	26	6	70	1010	8	Passing clouds"
"9.5	1	27	7	66	1010	8	Passing clouds"
"10.0	1	28	7	62	1010	8	Passing clouds"
"10.5	1	29	7	62	1010	0	Passing clouds"
"11.0	1	30	6	55	1010	0	Passing clouds"
"11.5	1	30	7	55	1009	0	Passing clouds"
"12.0	1	30	6	55	1009	0	Passing clouds"
"12.5	1	31	4	52	1008	0	Passing clouds"
"13.0	1	31	4	52	1008	0	Passing clouds"
"13.5	1	31	6	49	1007	0	Passing clouds"
"14.0	1	31	9	49	1007	0	Passing clouds"
"14.5	1	32	4	49	1007	0	Scattered clouds"
"15.0	1	32	4	46	1006	0	Scattered clouds"
"15.5	1	32	0	49	1006	0	Scattered clouds"
"16.0	1	32	2	49	1006	0	Scattered clouds"
"16.5	1	30	6	62	1007	8	Scattered clouds"
"17.0	1	30	11	62	1007	7	Passing clouds"
"17.5	1	29	4	62	1007	7	Passing clouds"
"18.0	1	28	9	70	1007	7	Clear"
"18.5	1	27	9	79	1008	7	Clear"
"19.0	1	28	11	74	1008	7	Clear"
"19.5	1	27	13	79	1009	7	Clear"
"20.0	1	26	9	84	1009	8	Clear"
"20.5	1	26	6	79	1009	8	Passing clouds"
"21.0	1	26	4	79	1010	8	Passing clouds"
"21.5	1	26	6	79	1010	8	Passing clouds"
"22.0	1	26	6	79	1009	8	Passing clouds"
"22.5	1	26	9	79	1009	8	Passing clouds"
"23.0	1	26	9	84	1009	8	Passing clouds"
"23.5	1	26	6	84	1009	8	Passing clouds"
"0.0	1	25	4	89	1009	8	Passing clouds"
"0.5	1	25	2	89	1009	8	Passing clouds"
"1.0	1	24	4	94	1009	8	Passing clouds"
"1.5	1	24	7	100	1008	8	Passing clouds"
"2.0	1	24	4	94	1008	8	Passing clouds"
"2.5	1	23	0	100	1008	8	Passing clouds"
"3.0	1	24	0	94	1008	6	Mild"
"4.0	1	23	2	100	1008	6	Passing clouds"
"4.5	1	23	4	100	1008	6	Passing clouds"
"5.0	1	23	6	100	1008	6	Passing clouds"
"5.5	1	23	6	94	1008	5	Fog"
"6.0	1	23	4	100	1008	4	Fog"
"6.5	1	23	4	100	1008	3	Fog"
"7.0	1	24	4	94	1009	3	Fog"
"7.5	1	25	6	94	1009	5	Fog"
"8.0	1	26	4	84	1009	7	Clear"
"8.5	1	27	6	79	1009	8	Clear"
"9.0	1	28	6	74	1009	8	Clear"
"9.5	1	29	4	70	1009	8	Clear"
"10.0	1	30	2	66	1009	8	Clear"
"10.5	1	30	4	66	1009	8	Clear"
"11.0	1	31	2	59	1009	8	Clear"
"11.5	1	32	6	55	1008	8	Passing clouds"
"12.0	1	32	6	55	1008	8	Passing clouds"
"12.5	1	32	4	55	1007	8	Passing clouds"
"13.0	1	32	6	55	1007	7	Scattered clouds"
